# Twin BBN prediction of the primordial Helium abundance $Y_p$ as
# function of the twin vev ratio and number of extra
# radiation degrees of freedom $\Delta N = N_eff-3.046$. Impact of
# chemical potential of electron neutrinos neglected in this version.
#
# Extracted as a fit to
#
# Format:
# First line must contain (num_ratios,num_DeltaN), other lines must
# contain (ratio,DeltaN,YHe_twin) blank lines and lines starting with #
# neglected

73	105
10.60	0.0400	0.74861
10.80	0.0400	0.74992
11.00	0.0400	0.75121
11.20	0.0400	0.75247
11.40	0.0400	0.75371
11.60	0.0400	0.75492
11.80	0.0400	0.75611
12.00	0.0400	0.75728
12.20	0.0400	0.75842
12.40	0.0400	0.75954
12.60	0.0400	0.76064
12.80	0.0400	0.76173
13.00	0.0400	0.76279
13.20	0.0400	0.76383
13.40	0.0400	0.76486
13.60	0.0400	0.76587
13.80	0.0400	0.76686
14.00	0.0400	0.76783
14.20	0.0400	0.76879
14.40	0.0400	0.76974
14.60	0.0400	0.77066
14.80	0.0400	0.77158
15.00	0.0400	0.77248
0.6000	0.0500	0.77129
0.8000	0.0500	0.68893
1.000	0.0500	0.65453
1.200	0.0500	0.63919
1.400	0.0500	0.63275
1.600	0.0500	0.63088
1.800	0.0500	0.63152
2.000	0.0500	0.63359
2.200	0.0500	0.63647
2.400	0.0500	0.63981
2.600	0.0500	0.64341
2.800	0.0500	0.64712
3.000	0.0500	0.65086
3.200	0.0500	0.65458
3.400	0.0500	0.65824
3.600	0.0500	0.66183
3.800	0.0500	0.66533
4.000	0.0500	0.66874
4.200	0.0500	0.67204
4.400	0.0500	0.67524
4.600	0.0500	0.67835
4.800	0.0500	0.68136
5.000	0.0500	0.68427
5.200	0.0500	0.68710
5.400	0.0500	0.68983
5.600	0.0500	0.69248
5.800	0.0500	0.69505
6.000	0.0500	0.69754
6.200	0.0500	0.69996
6.400	0.0500	0.70230
6.600	0.0500	0.70458
6.800	0.0500	0.70679
7.000	0.0500	0.70894
7.200	0.0500	0.71103
7.400	0.0500	0.71307
7.600	0.0500	0.71505
7.800	0.0500	0.71698
8.000	0.0500	0.71885
8.200	0.0500	0.72068
8.400	0.0500	0.72247
8.600	0.0500	0.72421
8.800	0.0500	0.72591
9.000	0.0500	0.72756
9.200	0.0500	0.72918
9.400	0.0500	0.73077
9.600	0.0500	0.73231
9.800	0.0500	0.73382
10.00	0.0500	0.73530
10.20	0.0500	0.73675
10.40	0.0500	0.73816
10.60	0.0500	0.73955
10.80	0.0500	0.74090
11.00	0.0500	0.74223
11.20	0.0500	0.74354
11.40	0.0500	0.74481
11.60	0.0500	0.74606
11.80	0.0500	0.74729
12.00	0.0500	0.74850
12.20	0.0500	0.74968
12.40	0.0500	0.75084
12.60	0.0500	0.75198
12.80	0.0500	0.75309
13.00	0.0500	0.75419
13.20	0.0500	0.75527
13.40	0.0500	0.75633
13.60	0.0500	0.75737
13.80	0.0500	0.75840
14.00	0.0500	0.75940
14.20	0.0500	0.76039
14.40	0.0500	0.76137
14.60	0.0500	0.76233
14.80	0.0500	0.76327
15.00	0.0500	0.76420
0.6000	0.0600	0.76462
0.8000	0.0600	0.68012
1.000	0.0600	0.64489
1.200	0.0600	0.62919
1.400	0.0600	0.62260
1.600	0.0600	0.62068
1.800	0.0600	0.62133
2.000	0.0600	0.62343
2.200	0.0600	0.62638
2.400	0.0600	0.62979
2.600	0.0600	0.63346
2.800	0.0600	0.63725
3.000	0.0600	0.64108
3.200	0.0600	0.64488
3.400	0.0600	0.64863
3.600	0.0600	0.65230
3.800	0.0600	0.65588
4.000	0.0600	0.65936
4.200	0.0600	0.66274
4.400	0.0600	0.66602
4.600	0.0600	0.66920
4.800	0.0600	0.67228
5.000	0.0600	0.67526
5.200	0.0600	0.67815
5.400	0.0600	0.68095
5.600	0.0600	0.68367
5.800	0.0600	0.68630
6.000	0.0600	0.68885
6.200	0.0600	0.69133
6.400	0.0600	0.69373
6.600	0.0600	0.69607
6.800	0.0600	0.69833
7.000	0.0600	0.70054
7.200	0.0600	0.70268
7.400	0.0600	0.70477
7.600	0.0600	0.70680
7.800	0.0600	0.70877
8.000	0.0600	0.71070
8.200	0.0600	0.71257
8.400	0.0600	0.71440
8.600	0.0600	0.71619
8.800	0.0600	0.71793
9.000	0.0600	0.71963
9.200	0.0600	0.72129
9.400	0.0600	0.72292
9.600	0.0600	0.72450
9.800	0.0600	0.72605
10.00	0.0600	0.72757
10.20	0.0600	0.72905
10.40	0.0600	0.73050
10.60	0.0600	0.73193
10.80	0.0600	0.73332
11.00	0.0600	0.73468
11.20	0.0600	0.73602
11.40	0.0600	0.73733
11.60	0.0600	0.73861
11.80	0.0600	0.73987
12.00	0.0600	0.74111
12.20	0.0600	0.74232
12.40	0.0600	0.74351
12.60	0.0600	0.74468
12.80	0.0600	0.74583
13.00	0.0600	0.74696
13.20	0.0600	0.74806
13.40	0.0600	0.74915
13.60	0.0600	0.75022
13.80	0.0600	0.75127
14.00	0.0600	0.75231
14.20	0.0600	0.75333
14.40	0.0600	0.75433
14.60	0.0600	0.75531
14.80	0.0600	0.75628
15.00	0.0600	0.75723
0.6000	0.0700	0.75884
0.8000	0.0700	0.67251
1.000	0.0700	0.63657
1.200	0.0700	0.62057
1.400	0.0700	0.61384
1.600	0.0700	0.61189
1.800	0.0700	0.61254
2.000	0.0700	0.61468
2.200	0.0700	0.61767
2.400	0.0700	0.62115
2.600	0.0700	0.62488
2.800	0.0700	0.62874
3.000	0.0700	0.63264
3.200	0.0700	0.63651
3.400	0.0700	0.64033
3.600	0.0700	0.64407
3.800	0.0700	0.64771
4.000	0.0700	0.65126
4.200	0.0700	0.65471
4.400	0.0700	0.65805
4.600	0.0700	0.66129
4.800	0.0700	0.66443
5.000	0.0700	0.66748
5.200	0.0700	0.67043
5.400	0.0700	0.67328
5.600	0.0700	0.67605
5.800	0.0700	0.67874
6.000	0.0700	0.68134
6.200	0.0700	0.68387
6.400	0.0700	0.68632
6.600	0.0700	0.68870
6.800	0.0700	0.69102
7.000	0.0700	0.69327
7.200	0.0700	0.69546
7.400	0.0700	0.69758
7.600	0.0700	0.69966
7.800	0.0700	0.70168
8.000	0.0700	0.70364
8.200	0.0700	0.70556
8.400	0.0700	0.70743
8.600	0.0700	0.70925
8.800	0.0700	0.71103
9.000	0.0700	0.71277
9.200	0.0700	0.71446
9.400	0.0700	0.71612
9.600	0.0700	0.71774
9.800	0.0700	0.71933
10.00	0.0700	0.72087
10.20	0.0700	0.72239
10.40	0.0700	0.72387
10.60	0.0700	0.72533
10.80	0.0700	0.72675
11.00	0.0700	0.72814
11.20	0.0700	0.72951
11.40	0.0700	0.73085
11.60	0.0700	0.73216
11.80	0.0700	0.73345
12.00	0.0700	0.73471
12.20	0.0700	0.73595
12.40	0.0700	0.73717
12.60	0.0700	0.73836
12.80	0.0700	0.73954
13.00	0.0700	0.74069
